sku,name,description,short_description,meta_title,meta_description,meta_keywords,categories,store_view_code
SPORT-TSHIRT-001,"Maglietta da Corsa ad Alta Prestazione","Maglietta da corsa ad alta prestazione con tecnologia che assorbe l'umidità. Perfetta per allenamenti intensi e corse di lunga distanza.","Maglietta da corsa che assorbe l'umidità per prestazioni ottimali.","Maglietta da Corsa ad Alta Prestazione","Maglietta da corsa ad alta prestazione con tecnologia che assorbe l'umidità","prestazione;corsa;maglietta","Tops/T-Shirts",it
SPORT-TSHIRT-002,"Canottiera da Allenamento","Canottiera da allenamento leggera progettata per sessioni di palestra e cross-training.","Canottiera leggera per allenamento in palestra.","Canottiera da Allenamento","Canottiera da allenamento leggera per sessioni di palestra","allenamento;canottiera;palestra","Tops/Tank Tops",it
SPORT-SHORTS-001,"Shorts da Corsa Atletici","Shorts da corsa comodi con fodera di compressione integrata e tasche laterali.","Shorts da corsa con fodera di compressione.","Shorts da Corsa Atletici","Shorts da corsa comodi con fodera di compressione","corsa;shorts;atletici","Bottoms/Shorts",it
SPORT-LEGGINGS-001,"Leggings Yoga Vita Alta","Leggings yoga premium con design vita alta e tessuto elastico in quattro direzioni.","Leggings yoga vita alta con elasticità in quattro direzioni.","Leggings Yoga Vita Alta","Leggings yoga premium con elasticità in quattro direzioni","yoga;leggings;vita-alta","Bottoms/Leggings",it
SPORT-JACKET-001,"Giacca Antivento da Corsa","Giacca antivento leggera perfetta per la corsa all'aperto in tutte le condizioni meteorologiche.","Antivento leggero per corsa all'aperto.","Giacca Antivento da Corsa","Antivento leggero per corsa all'aperto","antivento;giacca;corsa","Outerwear/Windbreakers",it
SPORT-SPORTS-BRA-001,"Reggiseno Sportivo Alta Intensità","Reggiseno sportivo alta intensità con supporto massimo per allenamenti intensi e corsa.","Reggiseno sportivo alta intensità per allenamenti intensi.","Reggiseno Sportivo Alta Intensità","Reggiseno sportivo alta intensità per allenamenti intensi","sportivo;reggiseno;alta-intensità","Tops/Sports Bras",it
SPORT-SOCKS-001,"Calzini Atletici Assorbenti","Calzini atletici da performance con tecnologia assorbente e suola imbottita.","Calzini atletici assorbenti.","Calzini Atletici Assorbenti","Calzini atletici assorbenti con suola imbottita","calzini;atletici;assorbenti","Accessories/Socks",it
SPORT-CAP-001,"Cappello da Performance","Cappello leggero con tessuto assorbente e chiusura regolabile.","Cappello da performance con tessuto assorbente.","Cappello da Performance","Cappello da performance con tessuto assorbente","cappello;performance;assorbente","Accessories/Caps",it
SPORT-GLOVES-001,"Guanti da Allenamento","Guanti da allenamento che migliorano la presa con mesh traspirante e palmi imbottiti.","Guanti da allenamento che migliorano la presa.","Guanti da Allenamento","Guanti da allenamento con miglioramento della presa","guanti;allenamento;presa","Accessories/Gloves",it
SPORT-HEADBAND-001,"Fascia Assorbente","Fascia elastica con tecnologia assorbente per tenere lontano il sudore dagli occhi.","Fascia elastica assorbente.","Fascia Assorbente","Fascia assorbente per abbigliamento attivo","fascia;assorbente;elastica","Accessories/Headbands",it
SPORT-TSHIRT-005,"Maglietta Performance Asciugatura Rapida","Maglietta performance asciugatura rapida con tecnologia avanzata di gestione dell'umidità.","Maglietta performance asciugatura rapida per abbigliamento attivo.","Maglietta Performance Asciugatura Rapida","Maglietta performance asciugatura rapida con gestione dell'umidità","asciugatura-rapida;performance;maglietta","Tops/T-Shirts",it
SPORT-TSHIRT-006,"Maglietta Anti-Odore da Allenamento","Maglietta anti-odore da allenamento con tecnologia ioni d'argento per prevenire la crescita batterica.","Maglietta anti-odore da allenamento con tecnologia argento.","Maglietta Anti-Odore da Allenamento","Maglietta anti-odore da allenamento con ioni d'argento","anti-odore;allenamento;argento","Tops/T-Shirts",it
SPORT-SHORTS-003,"Shorts da Corsa Performance","Shorts da corsa performance con fodera di compressione integrata e tasche laterali.","Shorts da corsa performance con fodera di compressione.","Shorts da Corsa Performance","Shorts da corsa performance con fodera di compressione","performance;corsa;shorts","Bottoms/Shorts",it
SPORT-SHORTS-004,"Shorts da Allenamento Basketball","Shorts da allenamento basketball con pannelli laterali in mesh e cintura elastica.","Shorts da allenamento basketball con pannelli mesh.","Shorts da Allenamento Basketball","Shorts da allenamento basketball con pannelli mesh","basketball;allenamento;shorts","Bottoms/Shorts",it
SPORT-LEGGINGS-004,"Leggings da Allenamento Vita Alta","Leggings da allenamento vita alta con tecnologia di compressione e tasche laterali.","Leggings da allenamento vita alta con compressione.","Leggings da Allenamento Vita Alta","Leggings da allenamento vita alta con tecnologia di compressione","vita-alta;allenamento;leggings","Bottoms/Leggings",it
SPORT-LEGGINGS-005,"Leggings Yoga Senza Cuciture","Leggings yoga senza cuciture con elasticità in quattro direzioni e cintura confortevole.","Leggings yoga senza cuciture con elasticità in quattro direzioni.","Leggings Yoga Senza Cuciture","Leggings yoga senza cuciture con elasticità in quattro direzioni","senza-cuciture;yoga;leggings","Bottoms/Leggings",it
SPORT-JACKET-004,"Giacca da Allenamento Impermeabile","Giacca da allenamento impermeabile con membrana traspirante e cappuccio regolabile.","Giacca da allenamento impermeabile con membrana traspirante.","Giacca da Allenamento Impermeabile","Giacca da allenamento impermeabile con membrana traspirante","impermeabile;allenamento;giacca","Outerwear/Windbreakers",it
SPORT-JACKET-005,"Giacca da Corsa Leggera","Giacca da corsa leggera con tessuto resistente al vento e dettagli riflettenti.","Giacca da corsa leggera con resistenza al vento.","Giacca da Corsa Leggera","Giacca da corsa leggera con tessuto resistente al vento","leggera;corsa;giacca","Outerwear/Windbreakers",it
SPORT-SPORTS-BRA-003,"Reggiseno Sportivo Basso Impatto","Reggiseno sportivo basso impatto con supporto confortevole per attività leggere.","Reggiseno sportivo basso impatto per attività leggere.","Reggiseno Sportivo Basso Impatto","Reggiseno sportivo basso impatto per attività leggere","basso-impatto;sportivo;reggiseno","Sports Bras",it
SPORT-SPORTS-BRA-004,"Reggiseno Sportivo Senza Ferretto","Reggiseno sportivo senza ferretto con massimo comfort e supporto per tutte le attività.","Reggiseno sportivo senza ferretto con massimo comfort.","Reggiseno Sportivo Senza Ferretto","Reggiseno sportivo senza ferretto con massimo comfort","senza-ferretto;sportivo;reggiseno","Sports Bras",it
SPORT-SOCKS-003,"Calzini Atletici Lana Merino","Calzini atletici lana merino con resistenza naturale agli odori e regolazione della temperatura.","Calzini atletici lana merino con resistenza agli odori.","Calzini Atletici Lana Merino","Calzini atletici lana merino con resistenza naturale agli odori","merino;lana;atletici","Socks",it
SPORT-SOCKS-004,"Calzini da Corsa Compressione","Calzini da corsa compressione con supporto dell'arco plantare e tecnologia assorbente.","Calzini da corsa compressione con supporto dell'arco.","Calzini da Corsa Compressione","Calzini da corsa compressione con supporto dell'arco plantare","compressione;corsa;calzini","Socks",it
SPORT-CAP-003,"Cappello Baseball Assorbente","Cappello baseball assorbente con chiusura regolabile e tessuto traspirante.","Cappello baseball assorbente con tessuto traspirante.","Cappello Baseball Assorbente","Cappello baseball assorbente con tessuto traspirante","assorbente;baseball;cappello","Caps",it
SPORT-CAP-004,"Cappello Trucker Performance","Cappello trucker performance con retro in mesh e pannello frontale assorbente.","Cappello trucker performance con retro in mesh.","Cappello Trucker Performance","Cappello trucker performance con retro in mesh","performance;trucker;cappello","Caps",it
SPORT-GLOVES-003,"Guanti da Ciclismo","Guanti da ciclismo con imbottitura in gel e mesh traspirante per lunghe uscite.","Guanti da ciclismo con imbottitura in gel.","Guanti da Ciclismo","Guanti da ciclismo con imbottitura in gel e mesh traspirante","ciclismo;guanti;gel","Gloves",it
SPORT-GLOVES-004,"Guanti CrossFit","Guanti CrossFit con palmi rinforzati e supporto del polso per sollevamento pesante.","Guanti CrossFit con palmi rinforzati.","Guanti CrossFit","Guanti CrossFit con palmi rinforzati e supporto del polso","crossfit;guanti;rinforzato","Gloves",it
SPORT-HEADBAND-003,"Fascia Sportiva Elastica","Fascia sportiva elastica con tessuto assorbente e vestibilità sicura.","Fascia sportiva elastica con tessuto assorbente.","Fascia Sportiva Elastica","Fascia sportiva elastica con tessuto assorbente","elastica;sportiva;fascia","Headbands",it
SPORT-HEADBAND-004,"Fascia Compressione","Fascia compressione per vestibilità sicura e gestione del sudore durante allenamenti intensi.","Fascia compressione per vestibilità sicura.","Fascia Compressione","Fascia compressione per vestibilità sicura","compressione;fascia;sicura","Headbands",it
SPORT-WRISTBAND-001,"Bracciale Assorbente","Bracciale assorbente con vestibilità elastica e tecnologia di assorbimento del sudore.","Bracciale assorbente con vestibilità elastica.","Bracciale Assorbente","Bracciale assorbente con vestibilità elastica","bracciale;assorbente;elastico","Accessories",it
SPORT-WRISTBAND-002,"Bracciale Compressione","Bracciale compressione per supporto delle articolazioni e miglioramento della circolazione durante gli allenamenti.","Bracciale compressione per supporto delle articolazioni.","Bracciale Compressione","Bracciale compressione per supporto delle articolazioni","compressione;bracciale;articolazioni","Accessories",it
SPORT-SHOES-002,"Scarpe da Allenamento","Scarpe da allenamento versatili con ammortizzazione reattiva e tomaia traspirante. Disponibili in diverse taglie e colori.","Scarpe da allenamento con ammortizzazione reattiva.","Scarpe da Allenamento","Scarpe da allenamento versatili con ammortizzazione reattiva","allenamento;scarpe;reattiva","Training Shoes",it
SPORT-SHOES-003,"Scarpe da Basketball","Scarpe da basketball ad alte prestazioni con supporto della caviglia e trazione superiore. Disponibili in diverse taglie e colori.","Scarpe da basketball con supporto della caviglia.","Scarpe da Basketball","Scarpe da basketball ad alte prestazioni con supporto della caviglia","basketball;scarpe;caviglia","Basketball Shoes",it
SPORT-SHOES-004,"Scarpe Cross-Training","Scarpe cross-training con stabilità e flessibilità per vari allenamenti. Disponibili in diverse taglie e colori.","Scarpe cross-training con stabilità.","Scarpe Cross-Training","Scarpe cross-training con stabilità e flessibilità","cross-training;scarpe;stabilità","Cross-Training Shoes",it
SPORT-JACKET-006,"Felpa con Cappuccio Performance","Felpa con cappuccio performance con tessuto assorbente e cappuccio regolabile. Disponibile in diverse taglie e colori.","Felpa con cappuccio performance con tessuto assorbente.","Felpa con Cappuccio Performance","Felpa con cappuccio performance con tessuto assorbente","performance;felpa;cappuccio","Hoodies",it
SPORT-JACKET-007,"Felpa da Allenamento","Felpa da allenamento con vestibilità confortevole e tecnologia assorbente. Disponibile in diverse taglie e colori.","Felpa da allenamento con vestibilità confortevole.","Felpa da Allenamento","Felpa da allenamento con vestibilità confortevole","allenamento;felpa;confortevole","Sweatshirts",it
SPORT-PANTS-002,"Joggers da Allenamento","Joggers da allenamento con cintura elastica e vestibilità affusolata. Disponibili in diverse taglie e colori.","Joggers da allenamento con cintura elastica.","Joggers da Allenamento","Joggers da allenamento con cintura elastica","allenamento;joggers;elastica","Joggers",it
SPORT-PANTS-003,"Shorts Performance","Shorts performance con fodera di compressione e tasche laterali. Disponibili in diverse taglie e colori.","Shorts performance con fodera di compressione.","Shorts Performance","Shorts performance con fodera di compressione","performance;shorts;compressione","Shorts",it
SPORT-LEGGINGS-006,"Leggings da Allenamento","Leggings da allenamento con tecnologia di compressione e tasche laterali. Disponibili in diverse taglie e colori.","Leggings da allenamento con tecnologia di compressione.","Leggings da Allenamento","Leggings da allenamento con tecnologia di compressione","allenamento;leggings;compressione","Leggings",it
SPORT-LEGGINGS-007,"Leggings Vita Alta","Leggings vita alta con elasticità in quattro direzioni e cintura confortevole. Disponibili in diverse taglie e colori.","Leggings vita alta con elasticità in quattro direzioni.","Leggings Vita Alta","Leggings vita alta con elasticità in quattro direzioni","vita-alta;leggings;elasticità","Leggings",it