sku,name,attribute_set_code,product_type,price,weight,status,visibility,description,short_description,categories,meta_title,meta_description,meta_keywords,url_key,manage_stock,use_config_manage_stock,qty,is_in_stock,stock_status,size,color,sport_type,material,store_view_code
SPORT-TSHIRT-001,Performance Running T-Shirt,Default,simple,29.99,0.2,1,4,"High-performance running t-shirt with moisture-wicking technology. Perfect for intense workouts and long-distance running.","Moisture-wicking running t-shirt for optimal performance.","T-Shirts","Performance Running T-Shirt","High-performance running t-shirt with moisture-wicking technology","performance;running;tshirt",performance-running-tshirt-001,1,1,100,1,1,M,Black,Running,Moisture-Wicking,en
SPORT-TSHIRT-002,Training Tank Top,Default,simple,24.99,0.15,1,4,"Lightweight training tank top designed for gym workouts and cross-training sessions.","Lightweight tank top for gym training.","Tank Tops","Training Tank Top","Lightweight training tank top for gym workouts","training;tank;gym",training-tank-top-002,1,1,75,1,1,S,White,Gym,Moisture-Wicking,en
SPORT-SHORTS-001,Athletic Running Shorts,Default,simple,34.99,0.3,1,4,"Comfortable running shorts with built-in compression liner and side pockets.","Running shorts with compression liner.","Shorts","Running Shorts","Comfortable running shorts with compression liner","running;shorts;athletic",athletic-running-shorts-001,1,1,50,1,1,L,Black,Running,Compression Fabric,en
SPORT-LEGGINGS-001,High-Waist Yoga Leggings,Default,simple,49.99,0.4,1,4,"Premium yoga leggings with high-waist design and four-way stretch fabric.","High-waist yoga leggings with four-way stretch.","Leggings","Yoga Leggings","High-waist yoga leggings with four-way stretch fabric","yoga;leggings;stretch",high-waist-yoga-leggings-001,1,1,60,1,1,M,Black,Yoga,Spandex,en
SPORT-JACKET-001,Windbreaker Running Jacket,Default,simple,79.99,0.5,1,4,"Lightweight windbreaker jacket perfect for outdoor running in all weather conditions.","Lightweight windbreaker for outdoor running.","Windbreakers","Windbreaker Jacket","Lightweight windbreaker for outdoor running","windbreaker;jacket;running",windbreaker-running-jacket-001,1,1,40,1,1,L,Blue,Running,Polyester,en
SPORT-SPORTS-BRA-001,High-Impact Sports Bra,Default,simple,39.99,0.2,1,4,"High-impact sports bra with maximum support for intense workouts and running.","High-impact sports bra for intense workouts.","Sports Bras","Sports Bra","High-impact sports bra for intense workouts","sports;bra;high-impact",high-impact-sports-bra-001,1,1,80,1,1,M,Black,Running,Compression Fabric,en
SPORT-SOCKS-001,Moisture-Wicking Athletic Socks,Default,simple,12.99,0.1,1,4,"Performance athletic socks with moisture-wicking technology and cushioned sole.","Moisture-wicking athletic socks.","Socks","Athletic Socks","Moisture-wicking athletic socks with cushioned sole","socks;athletic;moisture-wicking",moisture-wicking-athletic-socks-001,1,1,200,1,1,9,White,Running,Moisture-Wicking,en
SPORT-CAP-001,Performance Baseball Cap,Default,simple,19.99,0.15,1,4,"Lightweight baseball cap with moisture-wicking fabric and adjustable closure.","Performance baseball cap with moisture-wicking fabric.","Caps","Baseball Cap","Performance baseball cap with moisture-wicking fabric","cap;baseball;performance",performance-baseball-cap-001,1,1,100,1,1,One Size,Black,Running,Moisture-Wicking,en
SPORT-GLOVES-001,Training Workout Gloves,Default,simple,24.99,0.2,1,4,"Grip-enhancing workout gloves with breathable mesh and padded palms.","Grip-enhancing workout gloves.","Gloves","Workout Gloves","Training gloves with grip enhancement","gloves;workout;training",training-workout-gloves-001,1,1,75,1,1,L,Black,Gym,Polyester,en
SPORT-HEADBAND-001,Sweat-Wicking Headband,Default,simple,8.99,0.05,1,4,"Elastic headband with moisture-wicking technology to keep sweat away from your eyes.","Sweat-wicking elastic headband.","Headbands","Headband","Sweat-wicking headband for active wear","headband;sweat-wicking;elastic",sweat-wicking-headband-001,1,1,150,1,1,One Size,Black,Running,Moisture-Wicking,en
SPORT-TSHIRT-003,Compression Long Sleeve,Default,simple,39.99,0.25,1,4,"Compression long sleeve shirt for muscle support and temperature regulation.","Compression long sleeve for muscle support.","Long Sleeves","Compression Long Sleeve","Compression long sleeve for muscle support","compression;long-sleeve;muscle-support",compression-long-sleeve-003,1,1,45,1,1,L,Black,Gym,Compression Fabric,en
SPORT-SHORTS-002,Compression Shorts,Default,simple,29.99,0.2,1,4,"Compression shorts for muscle support and improved circulation during workouts.","Compression shorts for muscle support.","Compression Shorts","Compression Shorts","Compression shorts for muscle support","compression;shorts;muscle-support",compression-shorts-002,1,1,65,1,1,M,Black,Gym,Compression Fabric,en
SPORT-LEGGINGS-002,Compression Leggings,Default,simple,59.99,0.35,1,4,"High-compression leggings for muscle support and improved performance.","High-compression leggings for muscle support.","Compression Leggings","Compression Leggings","High-compression leggings for muscle support","compression;leggings;muscle-support",compression-leggings-002,1,1,55,1,1,M,Black,Gym,Compression Fabric,en
SPORT-JACKET-002,Insulated Training Jacket,Default,simple,89.99,0.6,1,4,"Insulated training jacket with water-resistant outer shell and breathable lining.","Insulated training jacket with water resistance.","Insulated Jackets","Insulated Jacket","Insulated training jacket with water resistance","insulated;jacket;training",insulated-training-jacket-002,1,1,35,1,1,L,Black,Gym,Polyester,en
SPORT-SPORTS-BRA-002,Medium-Impact Sports Bra,Default,simple,29.99,0.15,1,4,"Medium-impact sports bra with comfortable support for moderate activities.","Medium-impact sports bra for moderate activities.","Sports Bras","Sports Bra","Medium-impact sports bra for moderate activities","sports;bra;medium-impact",medium-impact-sports-bra-002,1,1,90,1,1,M,Black,Gym,Compression Fabric,en
SPORT-SOCKS-002,Compression Athletic Socks,Default,simple,15.99,0.12,1,4,"Compression athletic socks for improved circulation and muscle support.","Compression athletic socks for circulation.","Socks","Compression Socks","Compression athletic socks for circulation","socks;compression;circulation",compression-athletic-socks-002,1,1,180,1,1,9,Black,Gym,Compression Fabric,en
SPORT-CAP-002,Visor Running Cap,Default,simple,22.99,0.12,1,4,"Lightweight visor cap with moisture-wicking headband and adjustable closure.","Lightweight visor cap for running.","Caps","Visor Cap","Lightweight visor cap for running","visor;cap;running",visor-running-cap-002,1,1,85,1,1,One Size,Black,Running,Moisture-Wicking,en
SPORT-GLOVES-002,Weightlifting Gloves,Default,simple,34.99,0.25,1,4,"Heavy-duty weightlifting gloves with reinforced palms and wrist support.","Heavy-duty weightlifting gloves.","Gloves","Weightlifting Gloves","Heavy-duty weightlifting gloves with wrist support","gloves;weightlifting;heavy-duty",weightlifting-gloves-002,1,1,60,1,1,L,Black,Gym,Polyester,en
SPORT-HEADBAND-002,Compression Headband,Default,simple,12.99,0.08,1,4,"Compression headband for secure fit and sweat management during intense workouts.","Compression headband for secure fit.","Headbands","Compression Headband","Compression headband for secure fit","headband;compression;secure-fit",compression-headband-002,1,1,120,1,1,One Size,Black,Gym,Compression Fabric,en
SPORT-TSHIRT-004,UV Protection T-Shirt,Default,simple,32.99,0.22,1,4,"UV protection t-shirt with UPF 50+ rating for outdoor activities.","UV protection t-shirt with UPF 50+ rating.","T-Shirts","UV Protection T-Shirt","UV protection t-shirt with UPF 50+ rating","uv-protection;tshirt;outdoor",uv-protection-tshirt-004,1,1,70,1,1,L,White,Outdoor,UV Protection,en
SPORT-TSHIRT-005,Quick-Dry Performance T-Shirt,Default,simple,27.99,0.18,1,4,"Quick-dry performance t-shirt with advanced moisture management technology.","Quick-dry performance t-shirt for active wear.","T-Shirts","Quick-Dry Performance T-Shirt","Quick-dry performance t-shirt with moisture management","quick-dry;performance;tshirt",quick-dry-performance-tshirt-005,1,1,85,1,1,M,Blue,Running,Quick-Dry,en
SPORT-TSHIRT-006,Anti-Odor Training T-Shirt,Default,simple,34.99,0.2,1,4,"Anti-odor training t-shirt with silver ion technology to prevent bacterial growth.","Anti-odor training t-shirt with silver technology.","T-Shirts","Anti-Odor Training T-Shirt","Anti-odor training t-shirt with silver ion technology","anti-odor;training;silver",anti-odor-training-tshirt-006,1,1,65,1,1,L,Black,Gym,Anti-Microbial,en
SPORT-SHORTS-003,Performance Running Shorts,Default,simple,39.99,0.25,1,4,"Performance running shorts with built-in compression liner and side pockets.","Performance running shorts with compression liner.","Shorts","Performance Running Shorts","Performance running shorts with compression liner","performance;running;shorts",performance-running-shorts-003,1,1,55,1,1,M,Black,Running,Compression Fabric,en
SPORT-SHORTS-004,Training Basketball Shorts,Default,simple,29.99,0.3,1,4,"Training basketball shorts with mesh side panels and elastic waistband.","Training basketball shorts with mesh panels.","Shorts","Training Basketball Shorts","Training basketball shorts with mesh side panels","basketball;training;shorts",training-basketball-shorts-004,1,1,75,1,1,L,Black,Basketball,Mesh,en
SPORT-LEGGINGS-004,High-Waist Training Leggings,Default,simple,54.99,0.35,1,4,"High-waist training leggings with compression technology and side pockets.","High-waist training leggings with compression.","Leggings","High-Waist Training Leggings","High-waist training leggings with compression technology","high-waist;training;leggings",high-waist-training-leggings-004,1,1,50,1,1,M,Black,Gym,Compression Fabric,en
SPORT-LEGGINGS-005,Seamless Yoga Leggings,Default,simple,49.99,0.28,1,4,"Seamless yoga leggings with four-way stretch and comfortable waistband.","Seamless yoga leggings with four-way stretch.","Leggings","Seamless Yoga Leggings","Seamless yoga leggings with four-way stretch","seamless;yoga;leggings",seamless-yoga-leggings-005,1,1,60,1,1,M,Black,Yoga,Spandex,en
SPORT-JACKET-004,Waterproof Training Jacket,Default,simple,89.99,0.55,1,4,"Waterproof training jacket with breathable membrane and adjustable hood.","Waterproof training jacket with breathable membrane.","Windbreakers","Waterproof Training Jacket","Waterproof training jacket with breathable membrane","waterproof;training;jacket",waterproof-training-jacket-004,1,1,40,1,1,L,Black,Outdoor,Polyester,en
SPORT-JACKET-005,Lightweight Running Jacket,Default,simple,64.99,0.4,1,4,"Lightweight running jacket with wind-resistant fabric and reflective details.","Lightweight running jacket with wind resistance.","Windbreakers","Lightweight Running Jacket","Lightweight running jacket with wind-resistant fabric","lightweight;running;jacket",lightweight-running-jacket-005,1,1,45,1,1,M,Black,Running,Polyester,en
SPORT-SPORTS-BRA-003,Low-Impact Sports Bra,Default,simple,24.99,0.12,1,4,"Low-impact sports bra with comfortable support for light activities.","Low-impact sports bra for light activities.","Sports Bras","Low-Impact Sports Bra","Low-impact sports bra for light activities","low-impact;sports;bra",low-impact-sports-bra-003,1,1,95,1,1,S,Black,Yoga,Cotton,en
SPORT-SPORTS-BRA-004,Wireless Sports Bra,Default,simple,34.99,0.18,1,4,"Wireless sports bra with maximum comfort and support for all activities.","Wireless sports bra with maximum comfort.","Sports Bras","Wireless Sports Bra","Wireless sports bra with maximum comfort","wireless;sports;bra",wireless-sports-bra-004,1,1,80,1,1,M,Black,Gym,Cotton,en
SPORT-SOCKS-003,Merino Wool Athletic Socks,Default,simple,18.99,0.15,1,4,"Merino wool athletic socks with natural odor resistance and temperature regulation.","Merino wool athletic socks with odor resistance.","Socks","Merino Wool Athletic Socks","Merino wool athletic socks with natural odor resistance","merino;wool;athletic;socks",merino-wool-athletic-socks-003,1,1,120,1,1,9,Black,Outdoor,Merino Wool,en
SPORT-SOCKS-004,Compression Running Socks,Default,simple,16.99,0.13,1,4,"Compression running socks with arch support and moisture-wicking technology.","Compression running socks with arch support.","Socks","Compression Running Socks","Compression running socks with arch support","compression;running;socks",compression-running-socks-004,1,1,140,1,1,9,Black,Running,Compression Fabric,en
SPORT-CAP-003,Moisture-Wicking Baseball Cap,Default,simple,24.99,0.14,1,4,"Moisture-wicking baseball cap with adjustable closure and breathable fabric.","Moisture-wicking baseball cap with breathable fabric.","Caps","Moisture-Wicking Baseball Cap","Moisture-wicking baseball cap with breathable fabric","moisture-wicking;baseball;cap",moisture-wicking-baseball-cap-003,1,1,90,1,1,One Size,Black,Running,Moisture-Wicking,en
SPORT-CAP-004,Performance Trucker Cap,Default,simple,22.99,0.16,1,4,"Performance trucker cap with mesh back and moisture-wicking front panel.","Performance trucker cap with mesh back.","Caps","Performance Trucker Cap","Performance trucker cap with mesh back","performance;trucker;cap",performance-trucker-cap-004,1,1,85,1,1,One Size,Black,Running,Mesh,en
SPORT-GLOVES-003,Cycling Gloves,Default,simple,29.99,0.22,1,4,"Cycling gloves with gel padding and breathable mesh for long rides.","Cycling gloves with gel padding.","Gloves","Cycling Gloves","Cycling gloves with gel padding and breathable mesh","cycling;gloves;gel",cycling-gloves-003,1,1,70,1,1,L,Black,Cycling,Polyester,en
SPORT-GLOVES-004,CrossFit Gloves,Default,simple,39.99,0.28,1,4,"CrossFit gloves with reinforced palms and wrist support for heavy lifting.","CrossFit gloves with reinforced palms.","Gloves","CrossFit Gloves","CrossFit gloves with reinforced palms and wrist support","crossfit;gloves;reinforced",crossfit-gloves-004,1,1,55,1,1,L,Black,Cross Training,Polyester,en
SPORT-HEADBAND-003,Elastic Sports Headband,Default,simple,9.99,0.06,1,4,"Elastic sports headband with moisture-wicking fabric and secure fit.","Elastic sports headband with moisture-wicking fabric.","Headbands","Elastic Sports Headband","Elastic sports headband with moisture-wicking fabric","elastic;sports;headband",elastic-sports-headband-003,1,1,130,1,1,One Size,Black,Gym,Moisture-Wicking,en
SPORT-HEADBAND-004,Compression Headband,Default,simple,11.99,0.08,1,4,"Compression headband for secure fit and sweat management during intense workouts.","Compression headband for secure fit.","Headbands","Compression Headband","Compression headband for secure fit","compression;headband;secure",compression-headband-004,1,1,110,1,1,One Size,Black,Gym,Compression Fabric,en
SPORT-WRISTBAND-001,Moisture-Wicking Wristband,Default,simple,6.99,0.04,1,4,"Moisture-wicking wristband with elastic fit and sweat absorption technology.","Moisture-wicking wristband with elastic fit.","Accessories","Moisture-Wicking Wristband","Moisture-wicking wristband with elastic fit","wristband;moisture-wicking;elastic",moisture-wicking-wristband-001,1,1,200,1,1,One Size,Black,Running,Moisture-Wicking,en
SPORT-WRISTBAND-002,Compression Wristband,Default,simple,8.99,0.05,1,4,"Compression wristband for joint support and improved circulation during workouts.","Compression wristband for joint support.","Accessories","Compression Wristband","Compression wristband for joint support","compression;wristband;joint",compression-wristband-002,1,1,180,1,1,One Size,Black,Gym,Compression Fabric,en